leg_	surname	name	parlment	e1_90	p1a	p1b	p1c	p1d	p1e	p1f	p1g	p1h	p2	p3a	p3b	p3c	p3d	p3e	p3f	p3g	p3h	p4	p5	p6	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v163	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185
"Date"	""	""		""																					1.99e+07	1.99e+07	2.00e+07	1.99e+07	1.99e+07	1.99e+07																																																																								1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	2.00e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07	1.99e+07
"Date #"	""	""		""																					1	1	1	1	1	1																																																																								1	1	1	1	1	1	1	1	2	3	1	2	3	1	2	3	4	5	6	7	1	2	1	2	3	4	1	1	1	1	1	1	2	1	1	2	3	4	1	1	2	1	1	1	1	2	3	4	5	6	7	8	1	1	1	1	1	2	3	1	2	3	4	1	2	1	1	1	1	1	1	2	1	1	2	1	2	3	4	5	6	7	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16										
"Issue"	""	""		""																					3	5	5	1	1	3																																																																								1	2	1	1	1	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	5	2	2	1	1	5	5	2	1	1	1	1	2	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	2	2	1	1	2	1	2	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	2	1	2	2	3	3	3	3	3	3	5	5	5	2	2	2	2	2	2	2	2	2	2
"Threshol"	""	""		""																					1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"d099"	"ANDERSON"	"ROBERT"	44	"KAIMAI"					"ntl"	"ntl"	"ntl"	"ntl"					"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"did not run"	"did not run"	1	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	6	6	6	6	6	0	1	0	0	1	1	0	0	1	0	0	6	6	0	0	6	0	1	0	1	0	6	6	6	1	6	6	1	6	6	6	6	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	6	0	6	1	1	1	0	0	0	0	6	6	1	6	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	6	1	6	6	0	0	0	0	0	0	6	6	6	0	1	1	1	1	1	1	1	1	1
"d100"	"ANDERTON"	"JAMES"	44	"SYDENHAM"					"all"	"all"	"all"	"all"	84				"minor party ldr"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"won"	"elected in electorate"	1	0	0	6	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	6	6	6	6	6	6	0	0	1	1	1	1	1	1	0	1	1	1	1	1	6	6	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	6	6	6	1	6	6	6	6	6	6	6	6	1	0	6	1	0	1	1	1	0	6	6	1	0	1	0	0	1	0	1	1	0	0	0	1	6	6	6	6	6	6	6	0	0	6	1	1	1	6	1	0	6	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"d101"	"AUSTIN"	"MARGARET"	44	"YALDHURST"					"lab"	"lab"	"united"	"united"					"shadow minister"	"shadow minister"	"backbencher"	"backbencher"	"backbencher"	"won"	"lost"	2	6	6	1	0	1	6	6	6	6	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	6	6	1	6	1	1	1	1	6	1	6	6	6	6	6	6	6	6	6	6	1	1	1	1	6	1	6	6	1	1	1	0	1	0	1	0	1	1	0	0	1	6	6	0	0	1	0	6	6	1	1	1	0	1	1	1	1	6	0	0	1	6	1	1	1	0	6	0	0	1	0	6	6	6	6	6	0	1	1	0	0	0	1	1	6	6	6	1	1	1	0	1	1	0	1	6	1	0	1	1	6	0	0	1	1	0	1	0	0	0	6	1	1	1	1	6	6	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
"d102"	"BANKS"	"JOHN"	44	"WHANGAREI"					"ntl"	"ntl"	"ntl"	"ntl"	81				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	16	1	1	0	1	0	6	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	6	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	6	6	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	6	6	6	1	6	6	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	6	1	1	0	0	0	0	1	0	1	1	6	6	6	1	1	0	0	0	0	1	0	1	6	0	6	6	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d103"	"BARKER"	"RICHARD"	44	"HASTINGS"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	28	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	0	1	1	6	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	6	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	6	6	1	0	1	0	6	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	6	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d104"	"BIRCH"	"WILLIAM"	44	"FRANKLIN"					"ntl"	"ntl"	"ntl"	"ntl"	72				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	3	1	1	0	1	0	6	6	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	1	6	6	6	6	6	6	6	0	0	0	0	0	6	1	1	0	0	1	0	6	6	0	1	1	0	1	0	0	0	1	0	0	0	6	0	1	1	0	6	6	0	1	1	0	0	0	1	1	6	6	6	1	1	1	0	0	0	0	6	6	1	0	0	0	1	1	1	0	0	0	0	1	0	1	6	6	6	6	6	0	1	0	0	0	0	0	0	1	0	1	6	6	6	6	6	6	6	6	6	6
"d105"	"BLINCOE"	"JOHN"	44	"NELSON"					"lab"	"lab"	"lab"	"lab"	90				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"lost"	23	6	0	6	0	1	0	1	0	0	0	1	1	6	6	6	6	6	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	6	6	6	0	6	6	6	6	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	6	6	6	6	1	1	1	0	0	0	0	1	1	1	6	6	6	6	0	1	0	0	0	0	0	0	0	0	1	0	1	6	6	6	6	6	6	6	6	6
"d106"	"BOLGER"	"JAMES"	44	"KING COUNTRY"					"ntl"	"ntl"	"ntl"	"ntl"	72				"pm"	"pm"	"pm"	"pm"	"pm"	"won"	"elected in electorate"	1	1	1	6	6	6	6	6	1	1	1	0	0	0	0	0	0	0	6	6	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	0	0	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	1	1	0	0	0	0	1	0	1	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"d107"	"BRADFORD"	"MAXWELL"	44	"TARAWERA"					"ntl"	"ntl"	"ntl"	"ntl"	90				"backbencher"	"comm chair"	"comm chair"	"comm chair"	"comm chair"	"won"	"elected in electorate"	"not on list"	1	6	6	1	0	1	6	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	6	1	1	6	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	6	6	6	1	1	1	0	0	0	0	1	6	6	6	6	6	6	1	1	0	0	0	0	1	0	1	6	6	6	1	1	6	6	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	6
"d108"	"BRAYBROOKE"	"GEOFFREY"	44	"NAPIER"					"lab"	"lab"	"lab"	"lab"	81				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	"not on list"	6	0	6	0	6	6	1	6	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	6	1	6	1	0	6	6	0	0	1	1	0	1	1	1	1	1	1	6	0	0	1	0	1	1	1	6	0	6	6	1	1	1	1	0	1	1	1	0	1	6	0	1	0	1	1	0	0	0	1	1	0	6	6	6	6	6	6	6	6	6	6	6	0	6	6	1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	6	1	0	1	0	0	6	6	6	6	6	6	6	6	1	0	0	0	0	0	0	0	0	0
"d109"	"BURDON"	"PHILIP"	44	"FENDALTON"					"ntl"	"ntl"	"ntl"	"ntl"					"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"did not run"	"did not run"	1	1	0	1	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	6	1	6	6	1	1	6	6	6	6	6	6	6	6	0	1	1	1	0	1	0	0	6	6	1	1	0	1	0	0	0	1	0	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	6	1	6	6	6	6	6	6	6	6	6	0	1	0	6	6	6	6	6	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	6
"d110"	"BURTON"	"MARK"	44	"TONGARIRO"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	10	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	6	6	0	1	1	1	0	1	1	0	0	1	1	0	6	6	6	6	1	6	6	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	6	1	6	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	6	6	6	6	6	6	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d111"	"CARTER"	"JOHN"	44	"FAR NORTH"					"ntl"	"ntl"	"ntl"	"ntl"	87				"sr whip"	"sr whip"	"backbencher"	"backbencher"	"backbencher"	"lost"	"elected in electorate"	34	1	1	6	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	6	6	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	6	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	6	6	6	6	6	6	6	6	6	6	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	6	0	1	0	6	6	6	6	6	1	0	1	0	1	1	1	1	1	1	1	1	6
"d112"	"CARTER"	"DAVID"	44	"SELWYN"					"ntl"	"ntl"	"ntl"	"ntl"	94				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"		"elected in electorate"	41	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0	0	0	1	0	0	6	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	6	1	0	1	0	0	0	1	0	6	6	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d113"	"CARTER"	"CHRISTOPHER"	44	"TE ATATU"					"lab"	"lab"	"lab"	"lab"	93				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"lost"	"not on list"	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	6	6	1	6	1	6	6	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	6	0	1	1	6	6	0	0	0	1	1	1	1	1	0	1	1	1	6	1	0	0	1	0	1	1	0	0	0	1	6	6	6	6	6	6	6	6	6	6	6	6	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	6	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	6	6	6	6	0	0	0	0	0
"d114"	"CAYGILL"	"DAVID"	44	"ST. ALBANS"					"lab"	"lab"	"lab"	"lab"					"backbencher"	"dep opp ldr"	"dep opp ldr"	"dep opp ldr"	"comm chair"	"won"	"did not run"	"did not run"	6	0	6	0	1	6	6	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	6	6	6	1	1	1	1	6	6	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	1	1	1	1	1	6	1	1	1	1	1	0	1	0	1	0	1	1	0	6	6	1	0	6	6	6	6	1	1	1	1	0	0	1	1	1	1	0	0	6	6	1	1	1	1	0	1	6	6	0	1	0	6	6	6	6	6	6	6	6	6	1	0	0	6	6	6	6	6	6	6	1	1	1	6	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	6	6	6	6	6	6	6	6	6
"d115"	"CLARK"	"HELEN"	44	"MT. ALBERT"					"lab"	"lab"	"lab"	"lab"	81				"dep opp ldr"	"opp ldr"	"opp ldr"	"opp ldr"	"opp ldr"	"won"	"elected in electorate"	1	6	6	1	0	6	6	6	6	0	0	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	0	6	6	6	6	6	6	1	1	1	1	6	6	1	1	6	6	6	6	6	6	6	1	1	6	6	6	6	1	6	6	6	1	0	6	1	1	0	1	1	6	6	6	1	6	6	6	6	6	1	6	1	1	1	0	1	1	6	1	6	6	6	6	6	1	1	1	0	1	6	6	0	1	6	0	1	6	6	6	6	6	6	1	6	0	6	6	6	6	6	6	6	6	1	1	6	6	6	6	0	6	6	1	6	1	6	6	6	6	6	6	6	0	1	1	1	0	1	0	6	6	6	6	6	6	0	1	0	6	6	6	6	6	6	6	6	6	6
"d116"	"CLIFFE"	"BRUCE"	44	"NORTH SHORE"					"ntl"	"ntl"	"united"	"united"					"backbencher"	"cabinet minister"	"minor party ldr"	"minor party ldr"	"minor party ldr"	"won"	"did not run"	"did not run"	1	6	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	1	0	0	6	6	6	0	1	0	0	0	0	6	0	1	1	1	0	1	0	0	6	0	1	1	0	1	0	0	0	1	6	0	0	1	6	6	6	6	6	6	6	6	6	6	6	0	6	1	6	6	6	1	1	1	0	1	1	6	1	0	6	6	1	1	6	0	0	0	1	0	1	0	0	0	0	0	6	1	6	0	1	0	1	0	6	0	1	1	0	1	6	6	6	6	6	6	6	6	6	6
"d117"	"COOPER"	"WARREN"	44	"OTAGO"					"ntl"	"ntl"	"ntl"	"ntl"					"cabinet minister"	"cabinet minister"	"cabinet minister"	"backbencher"	"backbencher"	"won"	"did not run"	"did not run"	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0	1	1	0	0	1	6	6	6	6	0	0	1	6	6	6	6	0	0	0	6	1	1	0	6	0	0	0	1	0	6	6	6	0	1	6	6	0	0	0	1	1	0	0	0	1	1	0	0	0	6	6	6	6	6	6	0	1	0	1	6	0	0	6	1	1	6	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d118"	"CREECH"	"WYATT"	44	"WAIRARAPA"					"ntl"	"ntl"	"ntl"	"ntl"	88				"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	12	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	6	6	0	0	0	0	0	6	1	6	6	6	6	6	0	0	0	1	1	0	1	0	0	0	1	0	6	0	1	0	1	1	0	0	0	6	6	6	6	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	6	6	6	6	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1
"d119"	"CULLEN"	"MICHAEL"	44	"ST. KILDA"					"lab"	"lab"	"lab"	"lab"	81				"shadow minister"	"shadow minister"	"shadow minister"	"shadow minister"	"dep opp ldr"	"won"	"elected in electorate"	2	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	6	6	1	1	1	1	1	1	0	1	6	6	1	1	1	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	6	1	6	6	0	1	1	0	0	1	1	0	0	0	1	1	6	6	1	6	6	6	6	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	6	6	6	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	6	6	6	1	0	0	0	0	0	0	0	0	0
"d120"	"DALZIEL"	"LIANNE"	44	"CHRISTCHURCH CENTRAL"					"lab"	"lab"	"lab"	"lab"	90				"backbencher"	"shadow minister"	"shadow minister"	"shadow minister"	"shadow minister"	"won"	"elected on list"	4	6	0	1	0	1	0	1	0	0	6	6	6	6	6	6	6	6	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	6	1	1	1	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	6	0	0	1	1	1	1	1	0	1	1	1	0	6	0	0	1	0	1	1	0	0	0	1	0	6	6	6	6	6	0	0	0	1	1	1	1	0	6	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"d121"	"DUNNE"	"PETER"	44	"ONSLOW"					"lab"	"futnz"	"united"	"united"	84				"shadow minister"	"shadow minister"	"minor party ldr"	"cabinet minister"	"cabinet minister"	"won"	"elected in electorate"	3	6	0	6	0	1	6	1	0	0	0	6	6	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	6	6	1	1	1	6	6	1	6	6	6	6	6	6	0	6	6	6	6	6	6	6	1	1	6	6	6	6	6	6	6	6	1	1	0	6	6	6	1	0	0	0	1	0	0	0	1	0	6	1	0	0	0	6	6	6	6	0	0	1	6	6	6	6	1	1	1	0	6	6	0	1	6	1	0	6	6	6	0	6	0	1	0	1	0	0	0	6	6	6	0	6	0	1	0	1	0	1	0	1	6	6	6	6	6	6	6	6	6	6	6	6	6
"d122"	"DUYNHOVEN"	"HARRY"	44	"NEW PLYMOUTH"					"lab"	"lab"	"lab"	"lab"	87				"backbencher"	"backbencher"	"backbencher"	"backbencher"	"backbencher"	"won"	"elected in electorate"	"not on list"	6	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	6	6	1	6	1	1	6	6	1	1	6	1	1	1	1	1	1	1	1	1	6	6	6	6	1	1	1	0	1	1	0	0	1	1	0	6	6	6	6	1	6	1	6	6	6	6	1	1	1	0	0	0	1	1	1	1	1	0	1	6	6	0	6	6	6	6	0	1	1	0	0	0	1	0	6	6	6	6	6	0	0	0	0	6	6	1	6	1	0	6	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	6	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
